node_id,vehicle_serial,gps_time,latitude,longitude,altitude,speed,heading
2026,PA9558D,2018-03-04T22:59:38.000Z,1.315083,103.6906,37,2,315.96
2031,PC3785T,2018-03-04T22:59:38.000Z,1.291883,103.78049,70,0,139.86
2043,PC4038K,2018-03-04T22:59:38.000Z,1.294683,103.77489,37,0,329.73
2055,PC3995D,2018-03-04T22:59:38.000Z,1.29435,103.76955,9,0,21.16
2060,PC4071M,2018-03-04T22:59:38.000Z,1.294133,103.7751,25,0,328.87
2025,PC3957P,2018-03-04T22:59:39.000Z,1.3098,103.77198,31,0,188.68
2026,PA9558D,2018-03-04T22:59:39.000Z,1.315083,103.69062,37,1,315.96
2031,PC3785T,2018-03-04T22:59:39.000Z,1.291883,103.78049,70,0,139.86
2043,PC4038K,2018-03-04T22:59:39.000Z,1.294683,103.77489,37,0,329.73
2055,PC3995D,2018-03-04T22:59:39.000Z,1.29435,103.76955,9,0,21.16
2060,PC4071M,2018-03-04T22:59:39.000Z,1.294133,103.7751,25,0,328.87
2025,PC3957P,2018-03-04T22:59:40.000Z,1.3098,103.77198,31,0,188.68
2026,PA9558D,2018-03-04T22:59:40.000Z,1.3151,103.69062,37,3,346.24
2031,PC3785T,2018-03-04T22:59:40.000Z,1.291883,103.78049,70,0,139.86
2043,PC4038K,2018-03-04T22:59:40.000Z,1.294683,103.77489,37,0,329.73
2055,PC3995D,2018-03-04T22:59:40.000Z,1.29435,103.76955,9,0,21.16
2060,PC4071M,2018-03-04T22:59:40.000Z,1.294133,103.7751,25,0,328.87
2025,PC3957P,2018-03-04T22:59:41.000Z,1.3098,103.77198,31,0,188.68
2026,PA9558D,2018-03-04T22:59:41.000Z,1.315117,103.69062,36,7,29.92
2031,PC3785T,2018-03-04T22:59:41.000Z,1.291883,103.78049,70,0,139.86
2043,PC4038K,2018-03-04T22:59:41.000Z,1.294683,103.77489,37,0,329.73
2055,PC3995D,2018-03-04T22:59:41.000Z,1.29435,103.76955,9,0,21.16
2060,PC4071M,2018-03-04T22:59:41.000Z,1.294133,103.7751,25,0,328.87
2025,PC3957P,2018-03-04T22:59:42.000Z,1.3098,103.77198,31,0,188.68
2026,PA9558D,2018-03-04T22:59:42.000Z,1.315117,103.69064,36,10,59.16
2031,PC3785T,2018-03-04T22:59:42.000Z,1.291883,103.78049,70,0,139.86
2043,PC4038K,2018-03-04T22:59:42.000Z,1.294683,103.77489,37,0,329.73
